,price,Modellår,Kilometer,farge,effekt,batterikapasitet,feature_model,url
0,289000,2019,47500,Blå,170 Hk,42 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
1,159000,2016,123000,Mineral grey metallic,170 Hk,,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
2,279000,2019,75940,Blå,170 Hk,,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
3,179009,2017,133000,Svart,,27 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
4,249900,2018,69000,Grå metallic,170 Hk,27 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
5,230000,2018,26500,Fluid Black med highlight BMW i Blue,170 Hk,27 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
6,139000,2015,70415,Grå,170 Hk,125 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
7,210009,2017,93000,Blå,170 Hk,27 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
8,169009,2016,77075,Fluid svart,170 Hk,75 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
9,124009,2014,95000,Grå,170 Hk,125 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
10,255009,2018,27716,Svart,184 Hk,27 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
11,239009,2018,67900,Svart,170 Hk,27 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
12,249900,2017,63478,Svart,170 Hk,,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
13,279000,2019,71000,Grå,170 Hk,,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
14,239000,2017,61500,Platinum silver metallic/accent BMW i (L0C2U),170 Hk,,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
15,265000,2018,52000,Flowing Mineral grå met,170 Hk,,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
16,239000,2018,45086,Hvit,170 Hk,33 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
17,219000,2017,61000,Blå,170 Hk,,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
18,228900,2017,60552,Mineral Grey,170 Hk,,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
19,239000,2018,66000,Mineralgrå met.,170 Hk,,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
20,289000,2019,33600,Fluid Black,170 Hk,,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
21,149009,2016,87600,Capparis white,170 Hk,22 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
22,140000,2014,49000,Hvit,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
23,144909,2016,62628,Svart,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
24,149000,2016,104271,Grå,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
25,119000,2014,124000,Hvit,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
26,235000,2018,61500,Hvit,170 Hk,27 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
27,199000,2017,63000,Grå,170 Hk,27 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
28,231009,2018,41951,"Grå, blå, svart",170 Hk,27 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
29,287670,2019,45000,Blå,170 Hk,42 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
30,220000,2017,45800,Grå,170 Hk,27 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
31,128000,2014,78600,Grå,170 Hk,60 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
32,281670,2019,32337,Hvit,170 Hk,42 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
33,281009,2018,62300,Blå,170 Hk,27 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
34,189000,2016,53000,Grå,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
35,159900,2015,96000,Laurus-grau met./BMW i blau,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
